label	readable
PERS.=1|NOMB.=p|GENRE=x|CAS=n	1re personne pluriel genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=x|CAS=r	1re personne pluriel genre non établi régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=f|CAS=i	1re personne singulier féminin régime indirect PROper, PROper.PROper
PERS.=1|NOMB.=s|GENRE=f|CAS=n	1re personne singulier féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=f|CAS=r	1re personne singulier féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=m|CAS=i	1re personne singulier masculin régime indirect PROper, PROper.PROper
PERS.=1|NOMB.=s|GENRE=m|CAS=n	1re personne singulier masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=m|CAS=r	1re personne singulier masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=x|CAS=i	1re personne singulier genre non établi régime indirect PROper, PROper.PROper
PERS.=1|NOMB.=s|GENRE=x|CAS=n	1re personne singulier genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=x|CAS=r	1re personne singulier genre non établi régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=f|CAS=i	2e personne pluriel féminin régime indirect PROper, PROper.PROper
PERS.=2|NOMB.=p|GENRE=f|CAS=n	2e personne pluriel féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=f|CAS=r	2e personne pluriel féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=m|CAS=i	2e personne pluriel masculin régime indirect PROper, PROper.PROper
PERS.=2|NOMB.=p|GENRE=m|CAS=n	2e personne pluriel masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=m|CAS=r	2e personne pluriel masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=x|CAS=i	2e personne pluriel genre non établi régime indirect PROper, PROper.PROper
PERS.=2|NOMB.=p|GENRE=x|CAS=n	2e personne pluriel genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=x|CAS=r	2e personne pluriel genre non établi régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=f|CAS=i	2e personne singulier féminin régime indirect PROper, PROper.PROper
PERS.=2|NOMB.=s|GENRE=f|CAS=n	2e personne singulier féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=f|CAS=r	2e personne singulier féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=m|CAS=i	2e personne singulier masculin régime indirect PROper, PROper.PROper
PERS.=2|NOMB.=s|GENRE=m|CAS=n	2e personne singulier masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=m|CAS=r	2e personne singulier masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=x|CAS=i	2e personne singulier genre non établi régime indirect PROper, PROper.PROper
